text,language,speaker_id,accent,audio_path,duration_sec,is_augmented
విషమహీజమునకు వెలయు రెండు,te,a5ee7de1787c952040d904c9ea437f8b52a30ccf948dd08bccfdfb207553084624f92fdb7c118868db54b652d7b1519fb941ae02616998d0fe1b0aa5b699061e,te_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\te\te_29.wav,5.15,False
Дали би ја довеле во врска со детството?,mk,eeef2062ba10f3b84fb32105cba9daa8e2e02c3f7f206b5edb4a7b3707a6c0dad5066befc2b88d9524c360dd68d2ac04ae57682875796997ca4fdee91ca2eb7b,mk_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\mk\mk_115.wav,3.71,False
അതാ ട്രാക്കില് ഒരു കുട്ടി,ml,29ca16eb2c0faea0be0ad73b5d826f5e81dc6fd4acfa9241a002b5d3619fd51c5b00b009e7b98b50caa5829f8a96697d5942b120749ee63a5d637c632bd0f7bc,ml_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\ml\ml_111.wav,3.46,False
Подобро отколку да те ѕвизнат со камен по грб.,mk,eeef2062ba10f3b84fb32105cba9daa8e2e02c3f7f206b5edb4a7b3707a6c0dad5066befc2b88d9524c360dd68d2ac04ae57682875796997ca4fdee91ca2eb7b,mk_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\mk\mk_67.wav,3.6,False
അല്ലെങ്കില് എന്നോട് അങ്ങനെ പറഞ്ഞു,ml,e315d6a0031a9543a498a5dc7388a5756cc1e0fb2545b1791a604513673f513f77c8d4dfabe82fe3a2056531f621d3392aaa380c6216932f5e0debd676739b74,Central Kerala,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\ml\ml_50.wav,2.81,False
അതിൽ നൂറ്റിനാല്പത്തിയൊന്നു പേർ ആരോഗ്യപ്രവർത്തകരാണ്.,ml,29ca16eb2c0faea0be0ad73b5d826f5e81dc6fd4acfa9241a002b5d3619fd51c5b00b009e7b98b50caa5829f8a96697d5942b120749ee63a5d637c632bd0f7bc,ml_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\ml\ml_99.wav,5.62,False
വി എസ് എന്ന ചരിത്രം,ml,29ca16eb2c0faea0be0ad73b5d826f5e81dc6fd4acfa9241a002b5d3619fd51c5b00b009e7b98b50caa5829f8a96697d5942b120749ee63a5d637c632bd0f7bc,ml_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\ml\ml_79.wav,2.59,False
"'Og deres børn igen, de har fået små!",da,6c92de8f57d55cf4d88e05f99bb475cfe0f90beea6725c5c34b9e1a7ac6f502aae6a4d24fe6d293f46e65489053461c764ae7ca745a89455af062ee04ed327d5,Sjælland/København,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\da\da_61.wav,3.42,False
men heller ikke mere!,da,3ee87767b4fe7506916b3408432877dae498df2d0e0f8f8f1e3052e38fef0fc6fcf09e7e64e9a9a8fcfd83cb063f80061d28f6a9eba4e650d579f5d6a6751f8f,da_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\da\da_121.wav,2.3,False
La llingua ye comienzu d'equivocos.,ast,1e3c377278c9863001a8e2a7ad43aea8c24ca73cc5fc30485503d3ec24ccb240f7110e1ea569c6de94aacd080c3e71801c1df032b965312931e16b3ad2283f8c,ast_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\ast\ast_113.wav,4.18,False
"Hun bryder altid igennem, denne madame solskin",da,68ba03668d752bacc8206a9ee71fcca3f74ef3aa24edd627059ff3c3b02702184aa8a23180775f5589ed106fc3ad4bed46a40bb03a3f1e5f687801c4ff640891,da_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\da\da_136.wav,4.72,False
¡Ye lo que más m'apasiona!,ast,40f3e6f31f673ee16bf691600be48f0e7a6c2ece13096dde21b93f433fb18a4ca1cf241704b0604299595c32f45b9d0d8ad9ac6a97c621b4158e9070f4ef4d9b,Oriental,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\ast\ast_30.wav,3.17,False
എന്തു വേണമായിരുന്നു,ml,e315d6a0031a9543a498a5dc7388a5756cc1e0fb2545b1791a604513673f513f77c8d4dfabe82fe3a2056531f621d3392aaa380c6216932f5e0debd676739b74,Central Kerala,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\ml\ml_40.wav,3.53,False
"Тие сѐ можат да потценат, сѐ можат да омаловажат.",mk,68b80c31b52bf2f408c3eacaf03c556652fc12ecafc4e7daecaf6b340661fcaf137285063a773ffe8c65ff31e5a781ca6d7e8edd70b47057d0d076b7df54fece,"Skopje,Native",C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\mk\mk_157.wav,3.71,False
"Ослободен од контролата на комерцијалните партнери, слободен од диктатот на спонзорите.",mk,68b80c31b52bf2f408c3eacaf03c556652fc12ecafc4e7daecaf6b340661fcaf137285063a773ffe8c65ff31e5a781ca6d7e8edd70b47057d0d076b7df54fece,"Skopje,Native",C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\mk\mk_179.wav,4.9,False
"Maak die leerders deurgaans van die gebruik van hoofletters, spasiëring en leestekens bewus.",af,a84798e98048550282dd3c5f38bd9364fdbc705ab344a1b5b52c46fb69cda9bd5df9e98ff061cfd8d93e192bbd27198cc14e707fa05daef487e6384b98a5fe01,Capetonian,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\af\af_64.wav,7.63,False
Hy het sy kakebeen in 'n bakleiery gebreek.,af,8534c4285decf6a5f5c22ddd854452b1460eb6e07db69f54ba84fc6fc8458e80a154a7ec98ac09dc398aaa5ddab91464aeb20b6c8d123ced0d30e14d14777a4c,af_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\af\af_13.wav,3.74,False
¿Quies dexar d'esmolecete tanto?,ast,1e3c377278c9863001a8e2a7ad43aea8c24ca73cc5fc30485503d3ec24ccb240f7110e1ea569c6de94aacd080c3e71801c1df032b965312931e16b3ad2283f8c,ast_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\ast\ast_76.wav,4.5,False
ഞാനും അച്ഛനും കൂടി ഒന്നിച്ചിരുന്ന് വായിച്ചിട്ടുണ്ട്,ml,29ca16eb2c0faea0be0ad73b5d826f5e81dc6fd4acfa9241a002b5d3619fd51c5b00b009e7b98b50caa5829f8a96697d5942b120749ee63a5d637c632bd0f7bc,ml_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\ml\ml_95.wav,3.96,False
Тој ќе ја истера змијата од стомакот.,mk,eeef2062ba10f3b84fb32105cba9daa8e2e02c3f7f206b5edb4a7b3707a6c0dad5066befc2b88d9524c360dd68d2ac04ae57682875796997ca4fdee91ca2eb7b,mk_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\mk\mk_110.wav,2.92,False
"По предметите, како прав, паѓа неговото отсуство.",mk,eeef2062ba10f3b84fb32105cba9daa8e2e02c3f7f206b5edb4a7b3707a6c0dad5066befc2b88d9524c360dd68d2ac04ae57682875796997ca4fdee91ca2eb7b,mk_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\mk\mk_101.wav,4.07,False
"Тоа не беше сосема незамисливо, барем што се однесува до мене.",mk,68b80c31b52bf2f408c3eacaf03c556652fc12ecafc4e7daecaf6b340661fcaf137285063a773ffe8c65ff31e5a781ca6d7e8edd70b47057d0d076b7df54fece,"Skopje,Native",C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\mk\mk_161.wav,3.89,False
Die leerder verduidelik vaagweg hoe improvisering kan help in die voorbereiding van choreografie.,af,a84798e98048550282dd3c5f38bd9364fdbc705ab344a1b5b52c46fb69cda9bd5df9e98ff061cfd8d93e192bbd27198cc14e707fa05daef487e6384b98a5fe01,Capetonian,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\af\af_44.wav,6.77,False
Sabes que toi d'alcuerdu con tolo que dices.,ast,40f3e6f31f673ee16bf691600be48f0e7a6c2ece13096dde21b93f433fb18a4ca1cf241704b0604299595c32f45b9d0d8ad9ac6a97c621b4158e9070f4ef4d9b,Oriental,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\ast\ast_61.wav,3.64,False
ഇത് മനോഹരമായിരിക്കുന്നു,ml,29ca16eb2c0faea0be0ad73b5d826f5e81dc6fd4acfa9241a002b5d3619fd51c5b00b009e7b98b50caa5829f8a96697d5942b120749ee63a5d637c632bd0f7bc,ml_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\ml\ml_131.wav,3.2,False
"Forlang for den alt, hvad du vil!",da,68ba03668d752bacc8206a9ee71fcca3f74ef3aa24edd627059ff3c3b02702184aa8a23180775f5589ed106fc3ad4bed46a40bb03a3f1e5f687801c4ff640891,da_standard,C:\Users\Dino\Desktop\Projects\abysalto\abysalto-assignment\data\original_data\da\da_137.wav,3.17,False
